Province,District,Council,City,City Known For,Area,Area Known For,Beaches,Beaches Known For
Algarve,Faro,Conceição e Estoi,,,,,,
,,Faro,,,,,,
,,Montenegro,,,,,,
,,Santa Bárbara de Nexe,,,,,,
,Lagoa,Estômbar e Parchal,Bela Vista,"Lagoa (City Center): The central area of Lagoa, which is the administrative and historic core of the municipality.",,,,
,,,Centro de Parchal,,,,,
,,,Gramacho - Vale da Pinta,,,,,
,,,Mexilhoeira da Carregação,,,,,
,,,Sesmarias - Presa da Moura - Boa Nova,,,,,
,,,Vila de Estômbar - Fontes,,,,,
,,Ferragudo,,"Carvoeiro: A picturesque coastal village within the Lagoa municipality, known for its stunning cliffs and beaches.",,,,
,,Carvoeiro,Caramujeira - Vale d'El Rei - Benagil,,,,,
,,,Centro de Carvoeiro,,,,,
,,,Cidade de Lagoa,,,,,
,,,Mato Serrão - Vale da Lapa - Vale Currais,,,,,
,,,Salicos - Sesmarias - Boavista,,,,,
,,,Vale Milho - Vale Centeanes - Algar seco,,,,,
,,,,,,,,
,,Porches,,"Ferragudo: Another charming coastal town, often considered part of Lagoa, with its own distinct character and attractions.",,,,
,Albufeira,Albufeira e Olhos de Água,Albufeira (City Center),"The central area of Albufeira, known for its historic old town, vibrant nightlife, and beautiful beaches.",,,,
,,,Albufeira (New Town),"The modern part of Albufeira, featuring a wide range of hotels, restaurants, and entertainment options.",,,,
,,,Albufeira (Marina)," The marina area, offering a picturesque setting with boats, shops, and waterfront dining.",,,,
,,Ferreiras,,,,,,
,,Guia,,,,,,
,,Paderne,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Alcoutim,Alcoutim e Pereiro,,,,,,
,,GiõeS,,,,,,
,,Martim Longo,,,,,,
,,Vaqueiros,,,,,,
,,,,,,,,
,,,,,,,,
,Aljezur,Aljezur,,,,,,
,,Bordeira,,,,,,
,,Odeceixe,,,,,,
,,Rogil,,,,,,
,Castro Marim,Altura,,,,,,
,,Azinhal,,,,,,
,,Castro Marim,,,,,,
,,Odeleite,,,,,,
,Lagos,Bensafrim e Barão de São João,,,,,,
,,Lagos,,,,,,
,,Luz,,,,,,
,,Odiáxere,,,,,,
,Loulé,Almancil,,,,,,
,,Alte,,,,,,
,,Ameixial,,,,,,
,,Benafim,,,,,,
,,Boliqueime,,,,,,
,,Loulé Norte,Alte,,,,,
,,,Ameixial,,,,,
,,,Querença - Tôr - Benafim,,,,,
,,,Salir,,,,,
,,Quarteira,,,,,,
,,"Querença, Tôr e Benafim",,,,,,
,,Salir,,,,,,
,,São Clemente,,,,,,
,,São Sebastião,,,,,,
,Monchique,Almancil,Alferce,,,,,
,,,Centro,,,,,
,,,Quinta do Lago - Pinheiros Altos,,,,,
,,,São Lourenço - São João da Venda,,,,,
,,,The Village - Fonte Algarve - Quinta Verde,,,,,
,,,Vale do Garrão - Varandas do Lago - Quinta da Salinas,,,,,
,,,Vale do Lobo,,,,,
,,,Vale Formoso - Vale d'Éguas,,,,,
,,,,,,,,
,,Loulé Norte,Alte,,,,,
,,,Ameixial,,,,,
,,,Querença - Tôr - Benafim,,,,,
,,,Salir,,,,,
,,Alte,,,,,,
,,Ameixial,,,,,,
,,Benafim,,,,,,
,,Boliqueime,,,,,,
,,Marmelete,,,,,,
,,Monchique,,,,,,
,,Quarteira,,,,,,
,,,,,,,,
,,,,,,,,
,,São Clemente,,,,,,
,,São Sebastião,,,,,,
,"Olhão 1,882",Fuseta,,,,,,
,,Moncarapacho,,,,,,
,,Olhão,,,,,,
,,Pechão,,,,,,
,,Quelfes,,,,,,
,,,,,,,,
,"Portimão 2,645",Alvor,,,,,,
,,Mexilhoeira Grande,,,,,,
,,Portimão,,,,,,
,São Brás de Alportel 622,São Brás de Alportel,,,,,,
,"Silves 1,374",Alcantarilha e Pêra,,,,,,
,,Algoz e Tunes,,,,,,
,,Armação de Pêra,,,,,,
,,São Bartolomeu de Messines,,,,,,
,,São Marcos da Serra,,,,,,
,,Silves,,,,,,
,"Tavira 1,444",Cachopo - Santa Catarina Fonte Bispo,,,,,,
,,Conceição e Cabanas de Tavira,,,,,,
,,Luz de Tavira e Santo Estêvão,,,,,,
,,Santa Catarina da Fonte do Bispo,,,,,,
,,Santa Luzia,,,,,,
,,Santiago,,,,,,
,,Luz de Tavira e Santo Estêvão,,,,,,
,,Tavira,,,,,,
,Vila do Bispo 322,Barão de São Miguel,,,,,,
,,Budens,,,,,,
,,Sagres,,,,,,
,,Vila do Bispo e Raposeira,,,,,,
,Vila Real de Santo António 618,Monte Gordo,,,,,,
,,Vila Nova de Cacela,,,,,,
,,Vila Real de Santo António,,,,,,